"Iteration";"Force 1 Monitor: Force 1 Monitor (N)"
158.0;27.342092708676052
160.0;27.292696551496526
161.0;27.264735857058
163.0;27.208825573115085
165.0;27.158925618146732
167.0;27.12129820211471
169.0;27.103722197851525
170.0;27.105073353299108
172.0;27.13468101800029
174.0;27.210478690929655
176.0;27.338014548867317
177.0;27.42046332071104
179.0;27.61816254434115
181.0;27.848055240712604
183.0;28.090979472356366
185.0;28.32973291456383
186.0;28.442873792393186
188.0;28.64957321645907
190.0;28.82165905077826
192.0;28.949302941844923
194.0;29.027164005576942
195.0;29.047402269962674
197.0;29.05178788304632
199.0;29.006921060952656
201.0;28.907892505196852
202.0;28.836264470021298
204.0;28.648741134099122
206.0;28.408829869795102
208.0;28.132681995606244
210.0;27.841441893349486
211.0;27.697387338949117
213.0;27.42500388301771
215.0;27.18802565524012
217.0;26.99900984218677
219.0;26.862595806306466
220.0;26.813663285074643
222.0;26.751472415722098
224.0;26.730914201118356
226.0;26.741836564160135
228.0;26.77120597037937
229.0;26.78870058579443
231.0;26.821174168213794
233.0;26.842255613985984
235.0;26.84639514348333
236.0;26.84175410018587
238.0;26.820116622929298
240.0;26.784989172060076
242.0;26.73940289457447
244.0;26.688015672197224
245.0;26.662009906824014
247.0;26.613387522018296
249.0;26.57247049355666
251.0;26.541164043375762
253.0;26.521602997890238
254.0;26.517381866165433
256.0;26.522204261923548
258.0;26.547119818515352
260.0;26.593044487547765
261.0;26.62333954490851
263.0;26.696800589902587
265.0;26.782891976855122
267.0;26.875441226081037
269.0;26.968365010875363
270.0;27.013374909943014
272.0;27.09792176678933
274.0;27.172377478257236
276.0;27.23391723245929
278.0;27.280104293453146
279.0;27.297096577642762
281.0;27.318562883337624
283.0;27.32440049801869
285.0;27.317120296412067
287.0;27.30048631977596
288.0;27.289890942758227
290.0;27.266427238975623
292.0;27.243294104663033
294.0;27.22306837333825
295.0;27.214601775073113
297.0;27.202048406501543
299.0;27.195868821902568
301.0;27.196333958147804
303.0;27.203266620340422
304.0;27.20894187066002
306.0;27.223901234090523
308.0;27.242606067050684
310.0;27.263308510035674
312.0;27.284252822941532
313.0;27.29408812010866
315.0;27.311125008194825
317.0;27.323756122696185
319.0;27.3313133527953
320.0;27.332881510972218
322.0;27.330701514277457
324.0;27.3197485506994
326.0;27.29776213729592
328.0;27.262937301252965
329.0;27.240269168690094
331.0;27.18412324390171
333.0;27.11416602007583
335.0;27.032426810097903
337.0;26.942390300110834
338.0;26.895707623917023
340.0;26.802287135435016
342.0;26.71303887715388
344.0;26.63291205266199
345.0;26.597535157408018
347.0;26.538280454168465
349.0;26.496530351492115
351.0;26.47377126512224
353.0;26.470197412510565
354.0;26.475211163213604
356.0;26.4974897191343
358.0;26.53361907274983
360.0;26.580930409595858
362.0;26.6369115998033
363.0;26.66749627738245
365.0;26.732797636200793
367.0;26.801972428596343
369.0;26.873420728468187
371.0;26.94513447606924
372.0;26.98028863110536
374.0;27.047454783691457
376.0;27.107869521730485
378.0;27.158922757414825
379.0;27.18028473222423
381.0;27.21403725232941
383.0;27.23571735539949
385.0;27.24596867177485
387.0;27.246173047070847
388.0;27.2430466412296
390.0;27.231730135970096
392.0;27.215624498699537
394.0;27.196917465598997
396.0;27.177246015940387
397.0;27.16736441094663
399.0;27.14780009110862
401.0;27.128420948939397
403.0;27.10881718613499
404.0;27.098771917482786
406.0;27.077879157316925
408.0;27.055679455310983
410.0;27.032138771010015
412.0;27.007498458664195
413.0;26.994921169086183
415.0;26.969670937320664
417.0;26.944976637651603
419.0;26.92156274295186
421.0;26.899925832190718
422.0;26.889838829412636
424.0;26.87108669355073
426.0;26.853881659305475
428.0;26.83767116149153
430.0;26.821905788524443
431.0;26.814080680930495
433.0;26.798439651678997
435.0;26.78284765515863
437.0;26.767521681683796
438.0;26.760099749210532
440.0;26.74622365511874
442.0;26.734269631416154
444.0;26.725050538043327
446.0;26.71921526382693
447.0;26.717730686442437
449.0;26.71786747181326
451.0;26.722328864119742
453.0;26.73138106345141
455.0;26.7451949816618
456.0;26.753927469269797
458.0;26.77504582050197
460.0;26.800889352912492
462.0;26.83112898477884
463.0;26.84771204387591
465.0;26.88325642655847
467.0;26.921059657317148
469.0;26.959831017651005
471.0;26.998151544487747
472.0;27.016699041702154
